Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
136; 7.146; NA; NA; 0.000115; 0.8698; 0.3888; 84281.71640188408;
137; 7.117; NA; NA; 0.0001158; 0.9705; 0.387; 84677.71116572597;
138; 7.05; NA; NA; 0.0001166; 0.7088; 0.3873; 84614.68348794429;
139; 7.06; NA; NA; 0.0001175; 0.7926; 0.39; 84010.93756406769;
140; 6.919; NA; NA; 0.0001183; 0.8407; 0.3969; 82554.34697356487;
141; 7.174; NA; NA; 0.0001192; 1.556; 0.3905; 83922.96020712228;
142; 6.995; NA; NA; 0.00012; 1.121; 0.3842; 85298.94795011613;
143; 7.071; NA; NA; 0.0001208; 1.042; 0.3935; 83280.84015398347;
144; 6.961; NA; NA; 0.0001217; 0.9507; 0.3876; 84532.61208129315;
145; 6.922; NA; NA; 0.0001225; 1.089; 0.3966; 82631.27884180655;
146; 7.029; NA; NA; 0.0001234; 0.8422; 0.3931; 83355.74535062566;
147; 6.965; NA; NA; 0.0001242; 0.9246; 0.3856; 84981.86050848526;
148; 7.056; NA; NA; 0.000125; 1.013; 0.3916; 83681.67688056882;
149; 6.98; NA; NA; 0.0001259; 0.9423; 0.3874; 84586.51041183925;
150; 6.998; NA; NA; 0.0001267; 0.8283; 0.3956; 82827.73127307024;
151; 6.98; NA; NA; 0.0001276; 0.7684; 0.3922; 83551.19189138748;
152; 6.982; NA; NA; 0.0001284; 0.9376; 0.386; 84880.88144377648;
153; 6.825; NA; NA; 0.0001292; 1.129; 0.3914; 83720.7743938208;
154; 6.961; NA; NA; 0.0001301; 1.056; 0.3908; 83845.95839881306;
155; 6.968; NA; NA; 0.0001309; 0.8689; 0.3879; 84486.26041071798;
156; 6.871; NA; NA; 0.0001317; 1.083; 0.3917; 83662.06542418464;
157; 6.963; NA; NA; 0.0001326; 0.7088; 0.39; 84017.81936642599;
158; 7.061; NA; NA; 0.0001334; 0.8969; 0.3882; 84404.28231678746;
159; 6.956; NA; NA; 0.0001343; 1.01; 0.3916; 83680.0464871039;
160; 7.01; NA; NA; 0.0001351; 0.6864; 0.3898; 84054.50709154145;
161; 6.974; NA; NA; 0.0001359; 0.9381; 0.3895; 84119.07093255121;
162; 6.903; NA; NA; 0.0001368; 0.7717; 0.39; 84009.8078236563;
163; 6.999; NA; NA; 0.0001376; 0.7235; 0.3907; 83866.270279176;
164; 6.933; NA; NA; 0.0001385; 0.7624; 0.3868; 84705.7362145665;
165; 6.948; NA; NA; 0.0001393; 0.9411; 0.3864; 84800.54288556035;
166; 6.799; NA; NA; 0.0001401; 1.46; 0.3893; 84176.56725050927;
167; 6.983; NA; NA; 0.000141; 0.8475; 0.3878; 84488.8572536855;
168; 6.939; NA; NA; 0.0001418; 0.7898; 0.3878; 84496.33705343831;
169; 6.914; NA; NA; 0.0001427; 1.013; 0.3982; 82288.8210360184;
