Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
191; 2.637; NA; NA; 0.001; 0.0; 0.02735; 37443.91909610824;
192; 2.594; NA; NA; 0.001; 0.0; 0.02832; 36157.793103448275;
193; 2.543; NA; NA; 0.001; 0.0; 0.02805; 36503.82716007411;
194; 2.515; NA; NA; 0.001; 0.0; 0.02803; 36527.11102795472;
195; 2.535; NA; NA; 0.001; 0.0; 0.02769; 36977.127350368486;
196; 2.486; NA; NA; 0.001; 0.0; 0.026; 39390.3600278807;
197; 2.451; NA; NA; 0.001; 0.0; 0.02598; 39417.4731876543;
198; 2.531; NA; NA; 0.001; 0.0; 0.02594; 39472.8999338284;
199; 2.718; NA; NA; 0.001; 0.0; 0.02657; 38543.73824160243;
200; 2.658; 2.605; 2.665; 0.001; 0.0; 0.02879; 35563.491425779794;
201; 2.612; NA; NA; 0.001; 0.0; 0.0298; 34363.312152463855;
202; 2.609; NA; NA; 0.001; 0.0; 0.02726; 37562.79283896415;
203; 2.666; NA; NA; 0.001; 0.0; 0.02672; 38324.995725771194;
204; 2.61; NA; NA; 0.001; 0.0; 0.02659; 38508.143669195044;
205; 2.577; NA; NA; 0.001; 0.0; 0.02684; 38155.44170923466;
206; 2.67; NA; NA; 0.001; 0.0; 0.02643; 38747.156379120584;
207; 2.597; NA; NA; 0.001; 0.0; 0.02553; 40117.0108256041;
208; 2.627; NA; NA; 0.001; 0.0; 0.02559; 40010.501518454344;
209; 2.577; NA; NA; 0.001; 0.0; 0.02556; 40064.61969571179;
210; 2.528; NA; NA; 0.001; 0.0; 0.02517; 40678.97270368055;
211; 2.603; NA; NA; 0.001; 0.0; 0.02519; 40643.942123342764;
212; 2.524; NA; NA; 0.001; 0.0; 0.02494; 41066.76192570636;
213; 2.556; NA; NA; 0.001; 0.0; 0.02503; 40911.85353540164;
214; 2.654; NA; NA; 0.001; 0.0; 0.02512; 40765.84655979194;
215; 2.717; NA; NA; 0.001; 0.0; 0.02512; 40767.78130457894;
216; 2.643; NA; NA; 0.001; 0.0; 0.02499; 40976.6473882555;
217; 2.613; NA; NA; 0.001; 0.0; 0.02511; 40786.7515265472;
218; 2.501; NA; NA; 0.001; 0.0; 0.02544; 40254.24848166754;
219; 2.542; NA; NA; 0.001; 0.0; 0.02548; 40193.59794866036;
220; 2.62; NA; NA; 0.001; 0.0; 0.02567; 39891.584121263906;
