Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
1250; 6.527; 6.426; 0.0005989; 1.715; 0.9414; 8701.716846611573;
1260; 6.392; 6.286; 0.0005988; 0.65; 0.9201; 8903.221137382205;
1270; 6.349; 6.24; 0.0005988; 0.6371; 0.9282; 8825.987843367833;
1280; 6.333; 6.218; 0.0005987; 0.5619; 0.9214; 8891.183446746814;
1290; 6.317; 6.207; 0.0005987; 0.5777; 0.9273; 8833.961742689622;
1300; 6.329; 6.216; 0.0005986; 0.6984; 0.9294; 8813.981597210286;
1310; 6.315; 6.2; 0.0005986; 0.5694; 0.9264; 8842.650923402656;
1320; 6.304; 6.195; 0.0005986; 0.615; 0.9286; 8821.702778241346;
1330; 6.304; 6.202; 0.0005985; 0.6502; 0.9278; 8829.197001544864;
1340; 6.309; 6.2; 0.0005985; 0.6313; 0.9269; 8837.879080123083;
1350; 6.311; 6.206; 0.0005984; 0.6529; 0.9196; 8907.929872591782;
1360; 6.305; 6.193; 0.0005984; 0.7375; 0.9225; 8880.355518797887;
1370; 6.307; 6.198; 0.0005983; 0.7586; 0.9301; 8807.829278565103;
1380; 6.3; 6.204; 0.0005983; 0.7376; 0.9262; 8845.20955094259;
1390; 6.284; 6.195; 0.0005982; 0.6205; 0.927; 8836.753967053779;
1400; 6.265; 6.165; 0.0005981; 0.9257; 0.9291; 8816.817763508361;
1410; 6.329; 6.231; 0.0005981; 0.7818; 0.9228; 8877.175581587317;
1420; 6.277; 6.189; 0.000598; 0.7166; 0.9343; 8767.74221212637;
1430; 6.271; 6.173; 0.000598; 0.6309; 0.9259; 8847.744597967887;
1440; 6.248; 6.153; 0.0005979; 0.6412; 0.9315; 8794.602583319;
1450; 6.328; 6.233; 0.0005979; 0.7936; 0.9241; 8864.769026116695;
1460; 6.283; 6.177; 0.0005978; 0.6217; 0.9248; 8858.118560477744;
1470; 6.3; 6.198; 0.0005977; 0.7562; 0.9275; 8832.052050897273;
1480; 6.266; 6.165; 0.0005977; 0.6283; 0.9187; 8916.883262939766;
1490; 6.241; 6.148; 0.0005976; 0.6315; 0.9267; 8839.49792710137;
1500; 6.222; 6.129; 0.0005976; 0.6728; 0.9285; 8822.436676966436;
1510; 6.245; 6.142; 0.0005975; 0.7237; 0.9361; 8751.297580257982;
1520; 6.342; 6.237; 0.0005974; 0.8305; 0.9308; 8801.173763798366;
1530; 6.257; 6.16; 0.0005974; 0.6516; 0.9325; 8785.00788841421;
1540; 6.227; 6.131; 0.0005973; 0.5892; 0.9215; 8889.543315121187;
1550; 6.212; 6.112; 0.0005972; 0.6179; 0.9276; 8831.554894469054;
1560; 6.192; 6.095; 0.0005972; 0.8285; 0.9314; 8795.426539966507;
