Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
10800; 2.006; 2.115; 0.001; 0.0; 0.5999; 426.72167321474984;
10900; 2.033; 2.127; 0.001; 0.0; 0.5998; 426.8097064123107;
11000; 2.023; 2.109; 0.001; 0.0; 0.5982; 427.9226588915334;
11100; 2.026; 2.141; 0.001; 0.0; 0.6003; 426.48387690002744;
11200; 2.031; 2.063; 0.001; 0.0; 0.5952; 430.08870369176134;
11300; 2.036; 2.071; 0.001; 0.0; 0.5914; 432.870871468926;
11400; 2.049; 2.068; 0.001; 0.0; 0.6083; 420.82355610860174;
11500; 2.037; 2.049; 0.001; 0.0; 0.5976; 428.38259215432504;
11600; 2.036; 2.051; 0.001; 0.0; 0.5937; 431.2152084487098;
11700; 2.031; 1.977; 0.001; 0.0; 0.5932; 431.5507384949405;
11800; 1.927; 1.959; 0.001; 0.0; 0.5919; 432.4754474921469;
11900; 1.845; 2.018; 0.001; 0.0; 0.6013; 425.70927928406553;
12000; 1.865; 2.058; 0.001; 0.0; 0.6699; 382.148119069541;
12100; 1.86; 2.056; 0.001; 0.0; 0.5987; 427.62407823658634;
12200; 1.89; 2.092; 0.001; 0.0; 0.5892; 434.47881123264244;
12300; 1.863; 2.088; 0.001; 0.0; 0.6625; 386.44324252732747;
12400; 1.906; 2.037; 0.001; 0.0; 0.6049; 423.2225400877077;
12500; 1.958; 2.063; 0.001; 0.0; 0.599; 427.40415883832753;
12600; 1.987; 2.098; 0.001; 0.0; 0.6112; 418.84450852147836;
12700; 1.97; 2.073; 0.001; 0.0; 0.5959; 429.6132407108808;
12800; 1.97; 2.066; 0.001; 0.0; 0.6873; 372.49694853726834;
12900; 2.031; 2.105; 0.001; 0.0; 0.6167; 415.11546928218786;
13000; 2.002; 2.092; 0.001; 0.0; 0.6635; 385.8230981785777;
13100; 2.039; 2.106; 0.001; 0.0; 0.599; 427.3973537981435;
13200; 2.022; 2.123; 0.001; 0.0; 0.5932; 431.5252434644778;
13300; 2.038; 2.143; 0.001; 0.0; 0.6083; 420.8151448359759;
13400; 2.037; 2.127; 0.001; 0.0; 0.601; 425.9607442696686;
13500; 2.053; 2.121; 0.001; 0.0; 0.6137; 417.1414989702985;
13600; 2.019; 2.064; 0.001; 0.0; 0.5937; 431.19183092573525;
13700; 2.048; 2.088; 0.001; 0.0; 0.6651; 384.9015716291596;
13800; 2.021; 2.085; 0.001; 0.0; 0.6035; 424.15710069082337;
13900; 2.018; 2.098; 0.001; 0.0; 0.639; 400.6013539402871;
14000; 2.011; 2.07; 0.001; 0.0; 0.5951; 430.18140632630895;
14100; 2.023; 2.1; 0.001; 0.0; 0.6025; 424.9178152231553;
14200; 2.038; 2.108; 0.001; 0.0; 0.6043; 423.61391839249967;
14300; 2.072; 2.13; 0.001; 0.0; 0.6111; 418.9124867107658;
14400; 2.031; 2.108; 0.001; 0.0; 0.6145; 416.63067441718795;
14500; 2.043; 2.107; 0.001; 0.0; 0.6494; 394.19803044498553;
14600; 1.99; 2.073; 0.001; 0.0; 0.5959; 429.5974272369443;
14700; 1.982; 2.083; 0.001; 0.0; 0.6094; 420.06689980638635;
14800; 2.002; 2.12; 0.001; 0.0; 0.595; 430.2801837585876;
14900; 1.994; 2.086; 0.001; 0.0; 0.5914; 432.87122048642397;
15000; 1.987; 2.085; 0.001; 0.0; 0.5993; 427.15812430107644;
15100; 1.98; 2.047; 0.001; 0.0; 0.6093; 420.1632237476693;
15200; 2.033; 2.064; 0.001; 0.0; 0.5968; 428.93705253385383;
15300; 2.023; 2.045; 0.001; 0.0; 0.6119; 418.3984594246846;
15400; 2.027; 2.05; 0.001; 0.0; 0.6418; 398.86027209999907;
15500; 1.999; 2.032; 0.001; 0.0; 0.6113; 418.7701826339412;
15600; 2.021; 1.994; 0.001; 0.0; 0.5933; 431.510849641788;
15700; 1.966; 1.917; 0.001; 0.0; 0.596; 429.5060069297497;
15800; 1.793; 1.99; 0.001; 0.0; 0.6303; 406.18465493617884;
15900; 1.82; 2.026; 0.001; 0.0; 0.6331; 404.3494298582554;
16000; 1.838; 2.053; 0.001; 0.0; 0.5942; 430.8024055306824;
16100; 1.844; 2.062; 0.001; 0.0; 0.5948; 430.3822841879451;
16200; 1.834; 2.079; 0.001; 0.0; 0.5949; 430.3336424678715;
16300; 1.844; 2.06; 0.001; 0.0; 0.5963; 429.28603601352455;
16400; 1.916; 2.036; 0.001; 0.0; 0.6802; 376.3386011208053;
16500; 1.956; 2.075; 0.001; 0.0; 0.6034; 424.2814618706855;
16600; 1.958; 2.067; 0.001; 0.0; 0.5993; 427.19789230194476;
16700; 1.96; 2.073; 0.001; 0.0; 0.5955; 429.86675890606637;
16800; 1.979; 2.08; 0.001; 0.0; 0.591; 433.16372039134495;
16900; 1.978; 2.069; 0.001; 0.0; 0.5935; 431.31151593444577;
17000; 2.007; 2.108; 0.001; 0.0; 0.5947; 430.4364584761451;
17100; 2.007; 2.134; 0.001; 0.0; 0.5966; 429.0642328532839;
17200; 1.995; 2.099; 0.001; 0.0; 0.5965; 429.1606110094574;
17300; 2.009; 2.116; 0.001; 0.0; 0.5959; 429.62802392411123;
17400; 2.026; 2.12; 0.001; 0.0; 0.5934; 431.39348045486395;
17500; 1.997; 2.034; 0.001; 0.0; 0.6072; 421.60976013903115;
17600; 2.0; 2.054; 0.001; 0.0; 0.5889; 434.70484136340673;
17700; 1.991; 2.066; 0.001; 0.0; 0.6049; 423.2357189622477;
17800; 1.992; 2.048; 0.001; 0.0; 0.6001; 426.5994368645905;
17900; 1.984; 2.047; 0.001; 0.0; 0.5953; 430.00120701607125;
18000; 1.998; 2.073; 0.001; 0.0; 0.6447; 397.06890617083985;
18100; 1.991; 2.073; 0.001; 0.0; 0.6287; 407.2210847124912;
18200; 2.057; 2.102; 0.001; 0.0; 0.6003; 426.47405210827736;
18300; 2.017; 2.069; 0.001; 0.0; 0.6474; 395.45093498387246;
18400; 2.036; 2.097; 0.001; 0.0; 0.5975; 428.46071159935275;
18500; 1.969; 2.048; 0.001; 0.0; 0.5935; 431.3421840000257;
18600; 1.954; 2.036; 0.001; 0.0; 0.6671; 383.7537438388962;
18700; 1.974; 2.084; 0.001; 0.0; 0.5957; 429.7616346716116;
18800; 1.985; 2.063; 0.001; 0.0; 0.605; 423.13364583394906;
18900; 1.959; 2.066; 0.001; 0.0; 0.5978; 428.2640144607761;
19000; 1.955; 2.044; 0.001; 0.0; 0.6361; 402.4328017369488;
19100; 1.999; 2.042; 0.001; 0.0; 0.5976; 428.34619172901586;
19200; 1.998; 2.024; 0.001; 0.0; 0.6475; 395.3434807133505;
19300; 1.984; 2.005; 0.001; 0.0; 0.6256; 409.1745049665303;
19400; 1.984; 2.003; 0.001; 0.0; 0.5925; 432.07500758526277;
19500; 1.998; 2.035; 0.001; 0.0; 0.5979; 428.1866497264968;
19600; 2.006; 1.891; 0.001; 0.0; 0.6011; 425.908197491218;
19700; 1.786; 1.977; 0.001; 0.0; 0.6099; 419.7737618192381;
19800; 1.807; 2.01; 0.001; 0.0; 0.6006; 426.268343672363;
19900; 1.82; 2.014; 0.001; 0.0; 0.6122; 418.18873882663235;
19999; 1.819; 2.012; 0.001; 0.0; 0.5977; 428.3439703071095;
